XGBRegressor:
0.897343 (0.016114) 		with: {'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 200}
0.898555 (0.016410) 		with: {'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 300}
0.899426 (0.016297) 		with: {'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 400}
0.899835 (0.016647) 		with: {'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 500}
0.885925 (0.019386) 		with: {'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}
0.888930 (0.020118) 		with: {'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200}
0.889624 (0.019354) 		with: {'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 300}
0.889325 (0.018982) 		with: {'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 400}
0.889072 (0.019103) 		with: {'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 500}
0.887810 (0.018394) 		with: {'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 100}
0.888859 (0.019398) 		with: {'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 200}
0.888858 (0.019784) 		with: {'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 300}
0.888821 (0.019715) 		with: {'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 400}
0.888787 (0.019794) 		with: {'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 500}
0.889585 (0.013530) 		with: {'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 100}
0.894470 (0.015171) 		with: {'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 200}
0.895718 (0.014708) 		with: {'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 300}
0.896118 (0.014532) 		with: {'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 400}
0.895109 (0.014815) 		with: {'learning_rate': 0.3, 'max_depth': 2, 'n_estimators': 500}
0.884603 (0.017393) 		with: {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100}
0.884053 (0.018789) 		with: {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 200}
0.883170 (0.019722) 		with: {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 300}
0.882913 (0.020156) 		with: {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 400}
0.882829 (0.020207) 		with: {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 500}
0.880261 (0.020121) 		with: {'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 100}
0.879649 (0.020234) 		with: {'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 200}
0.879301 (0.020396) 		with: {'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 300}
0.879249 (0.020454) 		with: {'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 400}
0.879241 (0.020454) 		with: {'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 500}


